dat,clos
2000-03-28,261.86
2000-03-29,256.89
2000-03-30,252.08
2000-03-31,254.68
2000-04-03,257.3
2000-04-04,258.02
2000-04-05,245.7
2000-04-06,249.43
2000-04-07,247.96
2000-04-10,253.28
2000-04-11,249.68
2000-04-12,248.1
2000-04-13,243.73
2000-04-14,245.87
2000-04-17,226.04
2000-04-18,227.98
2000-04-19,226.21
2000-04-20,226.64
2000-04-21,230.45
2000-04-24,225.28
2000-04-25,227.77
2000-04-26,237.01
2000-04-27,238.62
2000-04-28,242.85
2000-05-03,244.88
2000-05-04,250.26
2000-05-05,249.96
2000-05-10,251.34
2000-05-11,244.7
2000-05-12,241.3
2000-05-15,236.26
2000-05-16,239.9
2000-05-17,235.77
2000-05-18,228.2
2000-05-19,218.3
2000-05-22,210.69
2000-05-23,201.9
2000-05-24,190.54
2000-05-25,204.83
2000-05-26,209.3
2000-05-29,213.67
2000-05-30,213.45
2000-05-31,217.05
2000-06-01,221.1
2000-06-02,224.94
2000-06-05,233.28
2000-06-06,227.57
2000-06-07,218.56
2000-06-08,228.73
2000-06-09,228.35
2000-06-13,226.09
2000-06-14,218.98
2000-06-15,221.31
2000-06-16,223.08
2000-06-19,218.95
2000-06-20,215.06
2000-06-21,204.15
2000-06-22,206.09
2000-06-23,207.97
2000-06-26,206.52
2000-06-27,200.65
2000-06-28,195.81
2000-06-29,189.57
2000-06-30,194.93
2000-07-03,199.13
2000-07-04,193.69
2000-07-05,188.68
2000-07-06,188.37
2000-07-07,199.23
2000-07-10,199.45
2000-07-11,189.24
2000-07-12,193.36
2000-07-13,198.36
2000-07-14,194.18
2000-07-17,197.96
2000-07-18,194.99
2000-07-19,194.99
2000-07-20,194.77
2000-07-21,197.04
2000-07-24,195.15
2000-07-25,194.36
2000-07-26,192.65
2000-07-27,191.84
2000-07-28,197.62
2000-07-31,200.22
2000-08-01,209.47
2000-08-02,210.74
2000-08-03,215.09
2000-08-04,218.04
2000-08-07,221.28
2000-08-08,218.81
2000-08-09,224.54
2000-08-10,225.54
2000-08-11,229.14
2000-08-14,234.17
2000-08-15,235
2000-08-16,234.2
2000-08-17,230.36
2000-08-18,229.86
2000-08-21,225.48
2000-08-22,229.88
2000-08-23,231.26
2000-08-24,235.29
2000-08-25,242.84
2000-08-28,239.93
2000-08-29,245.37
2000-08-30,243.05
2000-08-31,239.03
2000-09-01,237.54
2000-09-04,236.19
2000-09-05,241.56
2000-09-06,241.43
2000-09-07,238.66
2000-09-08,231.59
2000-09-11,224.31
2000-09-12,225.59
2000-09-13,221.29
2000-09-14,214.78
2000-09-15,215.47
2000-09-18,203.04
2000-09-19,200.25
2000-09-20,202.17
2000-09-21,199.23
2000-09-22,189.84
2000-09-25,198.65
2000-09-26,200.66
2000-09-27,204
2000-09-28,203.05
2000-09-29,204.61
2000-10-02,207.61
2000-10-03,214.46
2000-10-04,211.19
2000-10-05,206.02
2000-10-06,201.5
2000-10-09,198.33
2000-10-10,200.48
2000-10-11,193.08
2000-10-12,192.64
2000-10-13,190.37
2000-10-16,201.21
2000-10-17,201.27
2000-10-18,194.67
2000-10-19,197.22
2000-10-20,204.73
2000-10-23,203.06
2000-10-24,202.32
2000-10-25,197.29
2000-10-26,194.05
2000-10-27,195.11
2000-10-30,192.61
2000-10-31,192.22
2000-11-01,199.6
2000-11-02,196.56
2000-11-03,196.4
2000-11-08,184.73
2000-11-09,178.52
2000-11-10,178.67
2000-11-13,174.47
2000-11-14,179.42
2000-11-15,178.88
2000-11-16,176.77
2000-11-17,178.67
2000-11-20,174.8
2000-11-21,173.06
2000-11-22,166.01
2000-11-23,165.26
2000-11-24,167
2000-11-27,171.25
2000-11-28,165.1
2000-11-29,160.91
2000-11-30,149.84
2000-12-01,142.47
2000-12-04,141.71
2000-12-05,151.94
2000-12-06,161.25
2000-12-07,153.39
2000-12-08,157.84
2000-12-13,159.79
2000-12-14,151.39
2000-12-15,138.65
2000-12-18,139.34
2000-12-19,139.13
2000-12-20,135.21
2000-12-21,130.96
2000-12-22,136.13
2000-12-25,141.51
2000-12-26,142.21
2000-12-27,142.16
2000-12-28,144.39
2001-01-03,135.73
2001-01-04,145.36
2001-01-05,148.96
2001-01-09,150.89
2001-01-10,159.29
2001-01-11,160.03
2001-01-12,163.12
2001-01-15,163.21
2001-01-16,165.7
2001-01-17,169.76
2001-01-18,171.6
2001-01-19,174.9
2001-01-22,166.03
2001-01-23,168.59
2001-01-24,174.97
2001-01-25,176.92
2001-01-26,176.56
2001-01-29,169.95
2001-01-30,167.88
2001-01-31,167.74
2001-02-01,165.61
2001-02-02,165.35
2001-02-05,162.21
2001-02-06,165.28
2001-02-07,163.87
2001-02-08,166.4
2001-02-09,166.37
2001-02-12,166.46
2001-02-13,171.3
2001-02-14,174.15
2001-02-15,180.64
2001-02-16,183.51
2001-02-19,173.96
2001-02-20,172.35
2001-02-21,159.03
2001-02-22,161.17
2001-02-23,160.46
2001-02-26,162.48
2001-02-27,161.41
