Date,Close/Last,Volume,Open,High,Low
08/04/2020,101.73,761822,101.68,102.3376,100.7801
08/03/2020,101.58,1570226,100.24,101.91,100.0885
07/31/2020,99.49,1197936,99.93,99.94,97.8597
07/30/2020,97.91,399289,96.27,98.18,95.686
07/29/2020,97.18,351417,96.09,97.71,95.92
07/28/2020,95.13,356246,96.33,97.04,95.05
07/27/2020,96.75,425067,95.15,96.85,94.162
07/24/2020,93.90,758264,93.39,94.99,91.76
07/23/2020,95.49,698874,98.84,99.19,94.4414
07/22/2020,97.93,400474,98.31,99.01,97.15
07/21/2020,98.04,588619,100.10,100.315,97.76
07/20/2020,98.94,623976,94.90,99.11,94.80
07/17/2020,94.34,351670,94.02,94.63,93.2701
07/16/2020,93.67,357443,93.05,94.3499,92.30
07/15/2020,94.67,805906,95.02,95.16,92.2201
07/14/2020,93.60,1098801,92.50,94.2972,89.52
07/13/2020,93.24,1459762,99.85,100.91,92.97
07/10/2020,97.36,512315,96.68,97.409,95.2612
07/09/2020,96.65,962446,97.01,97.25,94.40
07/08/2020,95.79,842543,94.13,95.85,94.00
07/07/2020,92.77,750922,92.71,94.60,92.00
07/06/2020,92.29,1076528,91.52,93.606,91.07
07/02/2020,88.94,1177992,89.94,89.95,88.8001
07/01/2020,87.84,1372561,85.16,88.265,85.10
06/30/2020,84.85,861907,83.00,85.0587,82.86
06/29/2020,82.85,388289,82.94,82.9665,80.72
06/26/2020,82.94,536421,84.43,84.977,82.31
06/25/2020,84.40,380605,82.91,84.40,82.49
06/24/2020,83.03,551697,84.99,85.87,82.03
06/23/2020,85.65,505519,86.19,86.66,85.325
06/22/2020,85.30,543300,84.17,85.50,84.17
06/19/2020,83.79,513104,84.76,85.109,83.30
06/18/2020,83.47,394239,82.00,83.51,81.98
06/17/2020,81.98,599379,81.77,82.74,81.3915
06/16/2020,81.23,548512,81.26,81.32,79.21
06/15/2020,79.20,542766,75.15,79.20,74.87
06/12/2020,76.78,587758,78.24,78.58,75.07
06/11/2020,76.12,861582,78.40,79.567,75.98
06/10/2020,80.87,366334,80.61,81.23,79.5288
06/09/2020,79.36,373454,78.99,80.115,78.28
06/08/2020,79.26,438082,78.00,79.31,77.89
06/05/2020,77.53,319988,77.27,77.72,76.3418
06/04/2020,76.55,407644,77.90,78.49,75.97
06/03/2020,78.09,341220,77.90,78.39,77.35
06/02/2020,77.49,336622,77.34,77.8486,76.13
06/01/2020,76.91,472097,75.22,77.04,75.22
05/29/2020,75.09,282791,73.54,75.2573,73.43
05/28/2020,73.40,279780,73.36,74.83,72.8772
05/27/2020,73.57,525095,74.00,74.00,70.4468
05/26/2020,74.01,420704,75.86,75.86,73.8301
05/22/2020,74.12,271336,73.63,74.25,72.9585
05/21/2020,73.66,399707,73.94,74.16,72.38
05/20/2020,74.13,416336,73.74,74.405,73.30
05/19/2020,72.49,376340,72.02,73.64,72.02
05/18/2020,71.83,393501,72.94,73.29,71.635
05/15/2020,71.01,251047,69.33,71.239,69.155
05/14/2020,70.05,274429,68.24,70.14,67.2719
05/13/2020,69.02,440803,70.70,71.1574,67.4501
05/12/2020,70.42,310679,72.23,72.624,70.41
05/11/2020,71.74,362134,70.85,72.1988,70.4302
05/08/2020,71.54,430440,70.50,71.92,69.60
05/07/2020,70.00,333145,68.08,70.32,68.0394
05/06/2020,66.79,351445,66.27,67.4265,65.91
05/05/2020,65.94,248782,65.97,66.94,65.576
05/04/2020,64.93,233069,62.11,64.94,62.11
05/01/2020,62.89,329523,63.72,64.5612,62.33
04/30/2020,65.69,231595,66.76,67.36,65.2873
04/29/2020,66.30,284698,64.50,66.54,64.09
04/28/2020,63.01,300654,65.79,65.80,62.591
04/27/2020,64.96,263563,63.96,65.15,63.74
04/24/2020,62.93,178780,61.93,63.06,61.37
04/23/2020,61.69,188599,62.19,62.9967,61.63
04/22/2020,62.11,237362,61.13,62.32,60.65
04/21/2020,59.34,294721,61.00,61.319,58.37
04/20/2020,62.09,309430,61.39,63.25,61.0035
04/17/2020,61.92,338551,62.25,62.25,61.195
04/16/2020,60.95,299616,60.35,61.70,59.8001
04/15/2020,59.93,279990,59.66,60.23,58.75
04/14/2020,60.31,371859,59.25,60.88,59.11
04/13/2020,57.42,201772,56.61,57.49,55.4077
04/09/2020,56.46,344417,56.32,57.68,55.86
04/08/2020,55.28,228586,54.23,55.50,53.79
04/07/2020,53.27,186256,54.84,55.11,52.75
04/06/2020,52.63,152232,50.52,52.7114,49.94
04/03/2020,48.10,183474,49.40,49.84,47.59
04/02/2020,48.96,207040,48.77,50.39,48.12
04/01/2020,49.12,317149,50.97,51.12,48.75
03/31/2020,52.73,199023,53.31,54.53,52.0915
03/30/2020,53.5127,348169,52.97,53.64,52.21
03/27/2020,52.76,257951,53.35,53.92,52.16
03/26/2020,54.98,712246,53.30,55.19,53.01
03/25/2020,52.84,345144,52.84,55.17,51.588
03/24/2020,51.74,324593,50.36,52.20,49.89
03/23/2020,47.15,194984,46.38,47.65,44.79
03/20/2020,45.96,205097,47.81,49.6307,45.8846
03/19/2020,46.43,200184,42.93,47.3699,42.21
03/18/2020,42.71,193898,43.69,45.0619,40.495
03/17/2020,46.51,226554,45.60,47.81,42.67
03/16/2020,44.34,245919,45.71,48.27,44.23
03/13/2020,52.23,295716,52.50,53.0864,48.17
03/12/2020,49.74,445822,51.31,52.82,49.63
03/11/2020,56.06,212922,58.18,58.6647,55.02
03/10/2020,59.44,225833,59.21,59.4899,56.38
03/09/2020,56.78,295580,56.24,58.79,55.3701
03/06/2020,61.86,258375,61.87,62.5149,60.54
03/05/2020,63.78,177864,63.72,65.11,63.2401
03/04/2020,65.20,174737,64.62,65.24,63.50
03/03/2020,63.44,410825,65.59,66.15,62.34
03/02/2020,64.98,557484,64.28,65.00,62.58
02/28/2020,63.13,359228,59.83,63.30,59.65
02/27/2020,62.27,429447,62.85,65.0693,61.60
02/26/2020,64.32,267268,64.94,65.995,63.90
02/25/2020,64.85,344134,67.41,67.838,64.44
02/24/2020,66.83,415535,65.88,67.3888,65.2927
02/21/2020,69.92,304678,71.21,71.25,69.381
02/20/2020,71.60,261135,72.00,72.60,70.10
02/19/2020,71.97,309916,71.74,72.34,71.5512
02/18/2020,70.83,243735,70.42,70.83,70.01
02/14/2020,70.04,248689,70.15,70.67,69.86
02/13/2020,69.91,172912,68.80,70.389,68.7223
02/12/2020,69.46,225952,69.28,69.5444,68.8582
02/11/2020,68.69,240744,68.53,69.25,68.15
02/10/2020,68.00,188560,67.25,68.10,67.20
02/07/2020,67.06,192145,66.91,67.483,66.81
02/06/2020,67.08,277006,66.52,67.71,66.05
02/05/2020,66.22,397310,69.00,69.00,65.945
02/04/2020,68.50,477132,67.75,69.309,67.08
02/03/2020,65.83,286896,63.62,65.87,63.62
01/31/2020,63.17,134510,64.26,64.26,62.6961
01/30/2020,64.22,104348,63.32,64.2299,63.1864
01/29/2020,63.52,81320,63.69,63.8628,63.0357
01/28/2020,63.33,158215,62.56,63.44,62.34
01/27/2020,61.97,190885,61.30,62.37,60.65
01/24/2020,63.31,132199,64.29,64.4926,62.641
01/23/2020,63.77,107063,63.09,63.91,62.7501
01/22/2020,63.41,124099,63.73,64.29,63.25
01/21/2020,63.17,82800,63.17,63.54,62.95
01/17/2020,63.17,79329,63.35,63.43,63.00
01/16/2020,63.08,73433,62.80,63.08,62.481
01/15/2020,62.64,120387,62.76,63.3736,62.5065
01/14/2020,62.67,105057,62.78,63.12,62.16
01/13/2020,62.58,114741,61.59,62.66,61.59
01/10/2020,61.06,69211,61.65,61.65,60.8629
01/09/2020,61.28,119729,61.48,61.6492,60.76
01/08/2020,60.99,94977,60.17,61.2999,60.10
01/07/2020,60.06,121293,59.60,60.24,59.485
01/06/2020,59.27,207756,58.09,59.34,57.95
01/03/2020,58.60,522937,58.24,58.9181,58.24
01/02/2020,58.86,763932,58.04,58.89,58.04
12/31/2019,57.59,902913,57.01,57.6799,56.81
12/30/2019,57.40,114826,58.63,58.63,57.21
12/27/2019,58.63,61407,59.34,59.34,58.52
12/26/2019,58.99,72883,58.80,59.1475,58.80
12/24/2019,58.535,24923,58.27,58.5552,58.155
12/23/2019,58.26,96810,57.98,58.47,57.81
12/20/2019,57.72,80643,57.80,57.99,57.59
12/19/2019,57.55,88728,57.02,57.5725,57.02
12/18/2019,56.95,88430,56.45,57.16,56.44
12/17/2019,56.32,36979,56.54,56.54,56.1387
12/16/2019,56.46,127691,55.60,56.6108,55.60
12/13/2019,55.1604,39643,55.33,55.9252,55.1403
12/12/2019,55.33,49654,55.17,55.60,54.94
12/11/2019,55.10,59994,55.22,55.22,54.8934
12/10/2019,55.0516,64878,55.30,55.3515,54.9242
12/09/2019,55.16,53943,55.21,55.69,55.142
12/06/2019,55.35,113932,55.39,55.59,55.2403
12/05/2019,54.86,31442,54.84,54.9699,54.49
12/04/2019,54.77,108394,54.77,54.8999,54.5418
12/03/2019,54.53,113390,53.64,54.5541,53.3103
12/02/2019,54.46,353017,55.94,55.94,54.12
11/29/2019,56.196,18733,56.35,56.35,56.11
11/27/2019,56.43,50748,56.34,56.51,56.19
11/26/2019,56.16,92088,55.94,56.16,55.7898
11/25/2019,55.94,54015,55.19,56.00,55.16
11/22/2019,54.84,76096,54.74,54.85,54.1937
11/21/2019,54.54,41480,54.53,54.95,54.40
11/20/2019,54.53,58681,54.29,54.94,53.9836
11/19/2019,54.69,74454,54.56,54.81,54.06
11/18/2019,54.47,74810,54.27,54.6957,54.1145
11/15/2019,54.27,68054,54.00,54.3499,53.86
11/14/2019,53.65,36845,53.26,53.7596,53.2001
11/13/2019,53.42,50194,53.40,53.5402,53.15
